hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,color_uniformity,r_mean,g_mean,b_mean,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_energy,texture_correlation,blemish_ratio,edge_density,roundness,image_path,fruit
8.106166,27.727673,90.15253,89.95737,184.16086,77.21189,0.011116375710128124,182.18907,132.9707,125.92963,3348.6681082956534,24.678134579522347,0.3821338638094377,0.26220133003921753,0.7867434867164714,0.2691127232142857,0.051279496173469385,0.814457208885941,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,apple
21.428513,18.089674,77.1039,76.625565,184.67775,76.682236,0.013050473103058634,175.11838,184.51613,132.25142,2110.7198527598057,17.48917013984032,0.3885356702232237,0.25172153517607815,0.8065669425822677,0.1258171237244898,0.025450414540816327,0.8134315833739002,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,apple
106.864456,85.4156,102.7543,86.02706,175.33153,71.79115,0.01162424784432008,175.32669,109.010506,114.30585,2790.5064734565426,23.394900017928883,0.2896553628055138,0.14071430877980404,0.7867360751314026,0.19431600765306123,0.05369100765306122,0.8156876283835932,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,apple
62.81238,83.33118,93.18362,83.53024,192.80124,71.5993,0.011971710428779285,192.79236,125.29797,124.78968,2707.460991959023,22.607687159897214,0.31021240282913365,0.18225261616486407,0.7777768873762767,0.12771045918367346,0.07178730867346939,0.8136467267680999,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,apple
26.789501,55.529327,77.81465,78.66433,193.54117,75.989555,0.012712240463593776,189.27509,149.18544,136.75279,2936.531474005381,24.045652406657346,0.3587940831388088,0.24629620335442076,0.7743280121798317,0.1649792729591837,0.06431361607142858,0.8153601379789603,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,apple
16.053612,41.445255,87.72164,91.25549,186.4494,76.74722,0.010958243232763324,181.5688,143.15839,128.68823,2786.158743686684,22.93560143931905,0.3918200656388627,0.2710997071466605,0.820777667135968,0.2687141262755102,0.04878826530612245,0.8147297332428409,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,apple
22.51114,20.498386,78.97758,77.58978,186.27162,74.29112,0.012888293227888587,172.45221,186.22226,132.44388,2291.662539641745,17.462681560945466,0.3944387116173085,0.2567758136862885,0.7774025478187806,0.10323660714285714,0.02694515306122449,0.813574155873568,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,apple
26.194416,19.817635,79.58046,71.03159,180.0424,78.98025,0.014078240574919769,166.74748,179.98999,128.45122,2549.4235684448795,20.789878147376456,0.3141470838437358,0.1931323799847745,0.7825339434596915,0.16597576530612246,0.08155293367346939,0.8132113014009084,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,apple
83.40322,85.9988,86.786095,84.650696,175.0233,77.55383,0.011813250587105806,172.80223,129.76437,126.223694,2703.0929854730875,21.06000106742764,0.41151302394299294,0.25820970648024744,0.8307828594235357,0.2919124681122449,0.04591836734693878,0.8134834422554031,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,apple
21.190868,20.658428,70.450935,74.7367,195.84497,75.14125,0.01338030498938551,186.78433,195.65657,145.00618,2630.13729704126,19.174335220912567,0.4189267018350529,0.27982061965770677,0.749414971541092,0.10345583545918367,0.03346221301020408,0.8153237501562234,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,apple
12.63927,37.876057,97.17442,79.73753,201.3726,71.78956,0.012541143797970751,201.36563,135.40096,122.06746,2616.595207576578,22.466670110597818,0.2940096545746925,0.17772845337983204,0.7641266923093408,0.1028579400510204,0.09209582270408163,0.8136104413208339,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,apple
60.813477,81.935486,81.74115,87.646194,188.22707,78.73301,0.011409507190686279,187.77466,138.5649,137.74265,3154.02292571845,23.807315992936257,0.406267612581237,0.28922726768362994,0.8056430590365842,0.26674107142857145,0.04615752551020408,0.8139370103462276,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,apple
26.470823,55.030823,73.99262,76.3492,200.32657,74.80423,0.013097712919560226,198.3518,155.93553,143.90033,2493.0681690087904,20.703543435499483,0.3592901819678366,0.24002738776922278,0.7989131910381471,0.12322624362244898,0.06172273596938776,0.813628584044467,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple
86.70996,86.50508,98.58805,87.547325,181.67343,74.19824,0.011422392223203955,181.55347,117.34329,118.79147,2846.122988518762,23.20760504527004,0.32729844705867905,0.18025027822571077,0.7973146134121882,0.21813217474489796,0.056321747448979595,0.8129935887173126,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,apple
24.239239,19.039167,82.121216,71.69708,193.85753,73.20641,0.01394756697738596,180.6232,193.81602,131.9906,2419.1633129968823,18.571976079343973,0.3427071623670438,0.20124699905358695,0.744500749081862,0.10016741071428571,0.033502072704081634,0.8159787309654891,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,apple
44.818718,75.74314,87.25879,87.6137,193.57776,75.74197,0.011413738672951089,193.57495,133.84943,132.9765,2897.3654888772035,22.72191207228269,0.3962577421895339,0.2777081383585763,0.8083086929662607,0.2058952487244898,0.05201690051020408,0.8136104413208339,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,apple
38.865253,68.104034,67.56003,72.603516,217.10829,74.52859,0.013773435813090379,217.0729,164.61212,157.37466,2445.8724848482743,18.687019871826084,0.4116196202211647,0.24650859251177734,0.7767909533958804,0.1051498724489796,0.039720184948979595,0.8149598719288536,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,apple
19.763433,24.572998,73.750595,77.308624,193.52019,78.21465,0.012935165773836238,192.36203,189.50853,140.63918,2682.2790639667337,20.24222071213442,0.39244889242545733,0.25760721609744247,0.7605728402123987,0.11838329081632654,0.02766262755102041,0.814584386919161,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,apple
26.074677,24.785515,75.92979,74.142975,184.04494,76.3404,0.013487452683159453,171.65543,183.8743,132.7683,2467.4839627321126,20.256827169598914,0.30324245175790193,0.13551993494220388,0.7695564269577636,0.11812420280612244,0.030074139030612245,0.8142817220952541,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,apple
28.891382,23.996042,90.45157,79.55939,186.67485,66.25152,0.012569225447972884,161.78928,186.62727,115.97102,1691.6383241693002,14.868116387808673,0.26114922195184875,0.0734003271126925,0.7583557052323548,0.10206074617346939,0.02068718112244898,0.8138644394516956,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.05 PM.png,apple
22.410973,19.78063,68.93933,72.28204,201.15741,73.75607,0.013834692737312165,187.18542,201.13075,147.42062,2214.08405242411,15.890830420456448,0.44630436044730687,0.2849484971690253,0.7694648314034818,0.10337611607142858,0.025191326530612245,0.8139188676225945,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,apple
14.613978,38.54028,105.436844,104.33542,160.58965,85.169945,0.009584472047976241,157.06445,118.47844,109.977356,3259.780401572641,23.411586213014193,0.4215687507064432,0.25693251962844127,0.8306566968703474,0.4239477040816326,0.043626434948979595,0.8139551530698605,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.17 PM.png,apple
15.603177,16.72429,72.72849,70.43034,212.03366,75.0994,0.014198423669470862,209.74127,195.44803,148.22708,2155.430657388108,17.070550232287253,0.3816759825257562,0.23967452743925907,0.7736664584820159,0.10509008290816327,0.04021843112244898,0.8149962597515906,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM.png,apple
24.839226,18.420921,93.061646,75.13783,183.81992,74.31316,0.013308872930646668,168.72743,183.59848,117.63289,2005.0209423634358,18.062181120451,0.31618901439972236,0.18477791045987607,0.7979042909781078,0.12171157525510204,0.04765226403061224,0.8121953088774618,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.34 PM.png,apple
23.746653,15.448356,84.89008,66.93782,197.61055,70.82113,0.014939235309956295,190.83429,197.35876,129.72551,2237.0661126270375,17.426522598051474,0.3082560102597884,0.153754899407757,0.73234087821721,0.10130341198979592,0.028439891581632654,0.8147297332428409,dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.40 PM.png,apple
